Animal testing is cruel and inhumane,"Animals do not have rights, therefore it is acceptable to experiment on them",Churches should be taxed like corporations,Criminals should not have the right to vote,Do you believe in Astrology?,Do you believe intelligent alien civilizations in the universe do exist?,Do you consume alcoholic beverages?,Do you eat meat?,Do you have a car?,Do you play Pokemon Go?,Do you smoke?,Do you think global warming is mainly caused by human activity?,Do you think marijuana consumption should be legalized?,Do you use online dating?,Have you watched Game Of Thrones?,How did you meet your significant other?,How do you squeeze your toothpaste?,"If there were US elections tomorrow, which party would you support?",Obesity is a disease,"Playing violent video games causes more aggression, bullying, and fighting",Should public alcohol consumption be legal?,What flavor of potato chips do you prefer?,What is your gender?,What is your highest achieved education level?,What is your preferred music genre?,What is your preferred style of eggs?,What kind of breakfast drink do you prefer?,What kind of phone do you have?,Which category below includes your age?,Which kind of vacation do you prefer?,Which seat do you prefer on a flight?,Would you rather drive an electric car or a gas-powered car?
Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Through friends,I squeeze and/or roll it from the back to the front.,Democrats,Agree,Agree,No,Sea Salt & Vinegar,Female,Associate's degree,Pop,Scrambled,Other (please specify),Android,55-64,Cities,Aisle,Electric
Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Family,I squeeze and/or roll it from the back to the front.,Democrats,Agree,Disagree,Yes,Cheddar And Sour Cream,Female,High School graduate,Rock,Over Easy/Over Medium/Over Hard,Water,Android,25-34,Beach,Middle,Electric
Agree,Disagree,Neither agree nor disagree,Agree,No,No,No,No,Yes,No,No,No,No,No,No,Family,I squeeze it from the top.,Republicans,Disagree,Agree,No,None / I don't eat chips,Female,High School graduate,Other (please specify),I don't eat eggs,Coffee,iPhone,35-44,Mountains,Window,Gas
Agree,Disagree,Neither agree nor disagree,Agree,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,At work,I squeeze and/or roll it from the back to the front.,Republicans,Agree,Agree,Yes,Original / Plain,Female,Associate's degree,Pop,Scrambled,Coffee,iPhone,35-44,Mountains,Middle,Electric
Agree,Disagree,Disagree,Agree,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Through friends,I squeeze it from the middle.,Republicans,Disagree,Agree,No,Sea Salt & Vinegar,Female,High School graduate,Pop,Over Easy/Over Medium/Over Hard,Coffee,iPhone,25-34,Beach,Window,Electric
Agree,Disagree,Agree,Disagree,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Through friends,I squeeze it from anywhere.,Republicans,Agree,Disagree,No,Sour Cream and Onion,Female,Other (please specify),Pop,Over Easy/Over Medium/Over Hard,Coffee,Android,25-34,Beach,Aisle,Gas
Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Family,I squeeze and/or roll it from the back to the front.,Democrats,Agree,Agree,No,Sea Salt & Vinegar,Female,Bachelor's degree,Classical,Scrambled,Coffee,iPhone,35-44,Mountains,Window,Electric
Agree,Disagree,Agree,Disagree,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,At work,I squeeze and/or roll it from the back to the front.,Democrats,Disagree,Disagree,Yes,Barbecue,Male,Bachelor's degree,Classical,Over Easy/Over Medium/Over Hard,Coffee,iPhone,35-44,Beach,Aisle,Electric
Agree,Disagree,Agree,Disagree,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Through friends,I squeeze and/or roll it from the back to the front.,Republicans,Agree,Agree,No,Barbecue,Female,High School graduate,Hip-Hop / Rap,Scrambled,Juice,iPhone,18-24,Beach,Window,Gas
Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Family,I squeeze it from the middle.,Republicans,Agree,Agree,Yes,Sea Salt & Vinegar,Female,Master's degree,Rock,Sunny Side up,Water,iPhone,35-44,Beach,Middle,Gas
